Slice,Distance,BandArea,BandMedian
2,2.0,38,234.0
3,2.0,30,234.5
4,2.0,41,234.0
5,2.0,52,218.0
6,2.0,52,218.0
7,2.0,49,221.0
8,2.0,52,219.5
9,2.0,48,210.0
10,2.0,44,219.0
28,2.0,26,226.0
29,2.0,27,229.0
31,2.0,34,245.0
32,2.0,38,234.0
33,2.0,42,233.0
34,2.0,39,225.0
35,2.0,53,229.0
36,2.0,57,235.0
37,2.0,57,216.0
37,4.0,37,235.0
38,2.0,60,210.5
38,4.0,38,237.0
39,2.0,62,192.0
39,4.0,43,223.0
40,2.0,63,167.0
40,4.0,45,199.0
41,2.0,63,164.0
41,4.0,45,201.0
42,2.0,60,167.0
42,4.0,45,206.0
43,2.0,58,176.0
43,4.0,45,211.0
44,2.0,61,180.0
44,4.0,45,215.0
45,2.0,60,196.5
45,4.0,44,224.5
46,2.0,60,198.0
46,4.0,40,227.0
47,2.0,58,202.5
48,2.0,55,201.0
49,2.0,48,197.5
50,2.0,50,201.5
51,2.0,58,201.5
52,2.0,58,193.0
52,4.0,40,225.5
53,2.0,51,196.0
54,2.0,46,202.5
55,2.0,34,217.0
57,2.0,36,226.5
58,2.0,37,212.0
59,2.0,34,233.0
60,2.0,34,228.0
62,2.0,37,220.0
63,2.0,47,213.0
64,2.0,50,194.0
65,2.0,55,186.0
66,2.0,53,195.0
67,2.0,58,202.5
68,2.0,47,199.0
69,2.0,49,198.0
70,2.0,54,195.5
71,2.0,55,187.0
72,2.0,58,183.0
73,2.0,58,202.5
74,2.0,58,198.0
75,2.0,63,210.0
75,4.0,41,237.0
76,2.0,68,198.5
76,4.0,47,224.0
77,2.0,64,187.0
77,4.0,40,226.0
78,2.0,72,170.5
78,4.0,44,207.0
79,2.0,76,163.5
80,2.0,69,155.0
80,4.0,48,191.0
81,2.0,74,151.5
81,4.0,55,181.0
82,2.0,74,158.5
82,4.0,57,194.0
83,2.0,78,155.0
83,4.0,60,192.0
84,2.0,79,162.0
84,4.0,59,194.0
85,2.0,81,163.0
85,4.0,62,194.0
86,2.0,80,159.0
86,4.0,67,194.0
87,2.0,80,157.0
87,4.0,65,194.0
87,6.0,34,214.0
88,2.0,78,161.0
88,4.0,63,195.0
88,6.0,37,221.0
89,2.0,84,165.0
89,4.0,66,199.0
89,6.0,36,228.0
90,2.0,88,155.0
90,4.0,66,192.5
91,2.0,90,157.5
91,4.0,63,200.0
92,2.0,85,154.0
92,4.0,58,190.5
92,6.0,30,215.0
93,2.0,91,166.0
93,4.0,68,185.0
94,2.0,93,178.0
94,4.0,66,204.0
95,2.0,85,174.0
95,4.0,62,199.5
96,2.0,81,185.0
96,4.0,58,219.5
97,2.0,76,181.0
97,4.0,56,210.5
98,2.0,78,192.5
98,4.0,60,214.0
99,2.0,83,188.0
99,4.0,60,214.5
100,2.0,77,177.0
100,4.0,50,202.5
101,2.0,100,179.0
101,4.0,76,201.5
102,2.0,99,175.0
102,4.0,75,208.0
103,2.0,101,163.0
103,4.0,79,197.0
103,6.0,43,205.0
104,2.0,103,157.0
104,4.0,85,184.0
104,6.0,49,207.0
105,2.0,106,170.0
105,4.0,87,198.0
105,6.0,59,219.0
106,2.0,144,159.0
106,4.0,111,193.0
106,6.0,64,210.5
107,2.0,138,149.5
107,4.0,114,176.0
107,6.0,65,204.0
108,2.0,137,144.0
108,4.0,111,178.0
108,6.0,64,207.5
109,2.0,128,146.0
109,4.0,108,177.5
109,6.0,69,210.0
109,8.0,38,225.5
110,2.0,117,145.0
110,4.0,104,182.5
110,6.0,69,217.0
111,2.0,112,139.0
111,4.0,96,176.0
111,6.0,63,213.0
112,2.0,119,129.0
112,4.0,99,164.0
112,6.0,64,209.5
113,2.0,115,137.0
113,4.0,100,166.0
113,6.0,67,204.0
114,2.0,116,133.0
114,4.0,102,161.0
114,6.0,71,195.0
114,8.0,45,224.0
115,2.0,113,133.0
115,4.0,97,162.0
115,6.0,68,188.0
115,8.0,45,208.0
116,2.0,117,137.0
116,4.0,101,170.0
116,6.0,67,198.0
116,8.0,44,216.0
117,2.0,119,136.0
117,4.0,105,175.0
117,6.0,72,202.5
117,8.0,42,213.5
118,2.0,118,138.0
118,4.0,105,173.0
118,6.0,74,204.0
118,8.0,48,214.0
119,2.0,117,136.0
119,4.0,100,165.0
119,6.0,72,199.0
119,8.0,48,218.0
120,2.0,118,125.0
120,4.0,99,163.0
120,6.0,68,199.5
120,8.0,40,219.5
121,2.0,129,121.0
121,4.0,119,151.0
122,2.0,140,126.0
122,4.0,121,154.0
122,6.0,74,160.5
123,2.0,138,129.5
123,4.0,121,156.0
123,6.0,85,171.0
124,2.0,123,127.0
124,4.0,116,159.5
124,6.0,84,177.5
125,2.0,129,125.0
125,4.0,109,164.0
125,6.0,79,183.0
126,2.0,128,122.0
126,4.0,109,154.0
126,6.0,78,178.0
127,2.0,125,123.0
127,4.0,111,156.0
127,6.0,76,185.0
127,8.0,47,195.0
128,2.0,124,130.0
128,4.0,109,167.0
128,6.0,77,202.0
128,8.0,48,223.5
129,2.0,120,126.5
129,4.0,107,161.0
129,6.0,75,189.0
129,8.0,48,205.5
130,2.0,121,115.0
130,4.0,107,142.0
130,6.0,76,168.0
131,2.0,122,130.0
131,4.0,105,155.0
131,6.0,66,190.0
132,2.0,114,129.0
132,4.0,96,152.0
132,6.0,60,174.5
133,2.0,103,129.0
133,4.0,82,151.0
133,6.0,46,167.5
134,2.0,97,134.0
134,4.0,74,159.5
135,2.0,86,147.0
135,4.0,59,174.0
136,2.0,77,155.0
136,4.0,56,195.5
137,2.0,75,153.0
137,4.0,58,191.0
137,6.0,31,223.0
138,2.0,78,147.0
138,4.0,60,190.0
138,6.0,32,234.5
139,2.0,73,135.0
139,4.0,63,171.0
139,6.0,30,225.5
140,2.0,70,130.5
140,4.0,54,176.0
141,2.0,72,134.5
141,4.0,48,182.5
142,2.0,61,157.0
